0: [0, 0, 11, 2], [0, 0], 1
602: [26, 3, 27, 39], [0, 0], 1
603: [26, 3, 27, 39], [0, 0], 1
604: [26, 3, 27, 39], [0, 0], 1
605: [34, 3, 35, 39], [-8, 0], 1
606: [42, 3, 43, 39], [-16, 0], 1
607: [21, 3, 22, 39], [5, 0], 1
608: [21, 3, 22, 39], [5, 0], 1
609: [21, 3, 22, 39], [5, 0], 1
610: [21, 3, 22, 39], [5, 0], 1
611: [20, 10, 36, 115], [0, -96], 1
612: [9, 3, 37, 44], [0, -1], 1
613: [9, 2, 37, 43], [0, 0], 1
614: [10, 3, 38, 44], [-1, -1], 1
615: [10, 2, 38, 43], [-1, 0], 1
616: [0, 0, 14, 14], [0, 0], 1
617: [1, 0, 15, 14], [-1, 0], 1
618: [0, 0, 14, 14], [0, 0], 1
619: [0, 1, 14, 15], [0, -1], 1
620: [1, 0, 15, 14], [-1, 0], 1
621: [1, 1, 15, 15], [-1, -1], 1
622: [4, 4, 18, 22], [-4, -8], 1
623: [5, 6, 25, 29], [-8, -15], 1
624: [7, 7, 31, 37], [-12, -23], 1
625: [1, 2, 8, 9], [11, 11], 1
626: [7, 6, 14, 15], [5, 6], 1
627: [12, 10, 19, 19], [0, 2], 1
628: [12, 11, 19, 20], [0, 1], 1
629: [12, 11, 19, 20], [0, 1], 1
630: [12, 13, 19, 20], [0, 0], 1
631: [12, 13, 19, 20], [0, 0], 1
632: [20, 9, 38, 38], [0, 0], 1
633: [20, 9, 38, 38], [0, 0], 1
634: [18, 9, 38, 38], [0, 0], 1
635: [15, 9, 38, 36], [0, 0], 1
636: [15, 9, 38, 36], [0, 0], 1
637: [18, 9, 38, 37], [0, 0], 1
638: [20, 9, 39, 38], [0, 0], 1
639: [20, 9, 38, 38], [0, 0], 1
640: [7, 3, 24, 13], [0, 39], 1
641: [7, 3, 24, 18], [0, 34], 1
642: [6, 4, 26, 31], [0, 21], 1
643: [6, 3, 26, 44], [0, 8], 1
644: [6, 4, 26, 49], [0, 3], 1
645: [6, 5, 26, 50], [0, 2], 1
646: [6, 5, 26, 50], [0, 2], 1
647: [6, 5, 26, 50], [0, 2], 1
648: [6, 5, 26, 50], [0, 2], 1
649: [6, 5, 26, 52], [0, 0], 1
650: [6, 5, 26, 52], [0, 0], 1
651: [6, 5, 26, 52], [0, 0], 1
652: [6, 5, 26, 52], [0, 0], 1
653: [5, 8, 26, 41], [0, 0], 1
654: [5, 8, 26, 41], [0, 0], 1
655: [5, 8, 26, 41], [0, 0], 1
656: [5, 8, 26, 41], [0, 0], 1
657: [5, 8, 26, 41], [0, 0], 1
658: [5, 8, 26, 41], [0, 0], 1
659: [5, 8, 26, 41], [0, 0], 1
660: [5, 8, 26, 41], [0, 0], 1
661: [6, 2, 18, 31], [0, 0], 1
662: [6, 2, 18, 31], [0, 0], 1
663: [6, 5, 25, 26], [0, 0], 1
664: [6, 5, 25, 26], [0, 0], 1
665: [6, 5, 25, 26], [0, 0], 1
666: [7, 7, 25, 25], [0, 1], 1
667: [6, 5, 25, 26], [0, 0], 1
668: [6, 5, 25, 26], [0, 0], 1
669: [1, 5, 20, 26], [5, 0], 1
670: [6, 7, 24, 25], [0, 0], 1
671: [5, 6, 18, 24], [0, 0], 1
672: [1, 8, 14, 26], [4, -2], 1
673: [0, 0, 15, 18], [0, 6], 1
674: [0, 0, 15, 18], [0, 6], 1
675: [3, 0, 12, 32], [0, 6], 1
676: [3, 0, 20, 40], [-3, 6], 1
677: [8, 0, 23, 46], [-7, 6], 1
678: [7, 0, 32, 61], [-13, 6], 1
679: [8, 3, 23, 15], [-7, 1], 1
680: [5, 3, 23, 20], [-7, 0], 1
681: [5, 2, 18, 20], [0, -4], 1
682: [3, 2, 20, 24], [0, -8], 1
683: [0, 3, 18, 15], [0, 1], 1
684: [1, 3, 21, 20], [0, 0], 1
685: [3, 2, 12, 11], [0, 1], 1
686: [0, 0, 31, 13], [-4, 0], 1
687: [0, 0, 31, 13], [-4, 0], 1
688: [0, 0, 31, 13], [-4, 0], 1
689: [3, 16, 49, 50], [0, 0], 1
690: [6, 0, 57, 41], [-8, 16], 1
691: [2, 2, 21, 31], [3, 4], 1
692: [2, 2, 21, 31], [5, 4], 1
693: [5, 2, 26, 35], [0, 0], 1
694: [5, 2, 26, 35], [0, 0], 1
695: [4, 2, 19, 31], [0, 0], 1
696: [4, 2, 19, 31], [0, 0], 1
697: [4, 2, 19, 31], [0, 0], 1
698: [4, 2, 19, 32], [0, -1], 1
699: [4, 3, 19, 32], [0, -1], 1
700: [4, 3, 19, 32], [0, -1], 1
701: [4, 4, 19, 25], [0, 4], 1
702: [4, 0, 19, 24], [0, 7], 1
703: [8, 0, 23, 17], [-4, 14], 1
704: [8, 0, 23, 6], [-4, 24], 1
705: [0, 0, 7, 13], [0, 0], 1
